id,name,customerMail,trainerMail
1,Scheda Massa,mario.rossi@gmail.com,mattia.verdi@gmail.com
268881,Beginner Full Body,t_f2426494-f87b-40f9-89db-5cca7a1fd752@ex.com,t_1f29aaf6-eac5-4cf4-b029-a52eab626399@ex.com
268882,Cardio Focus,t_f2426494-f87b-40f9-89db-5cca7a1fd752@ex.com,t_1f29aaf6-eac5-4cf4-b029-a52eab626399@ex.com
268883,Advanced Strength,t_f2426494-f87b-40f9-89db-5cca7a1fd752@ex.com,t_1f29aaf6-eac5-4cf4-b029-a52eab626399@ex.com
843023,Beginner Full Body,t_91edfec2-4a4f-40de-bac9-9b0bebd45309@ex.com,t_03e8c232-a28e-42b6-a9a1-21396152bc6b@ex.com
843024,Cardio Focus,t_91edfec2-4a4f-40de-bac9-9b0bebd45309@ex.com,t_03e8c232-a28e-42b6-a9a1-21396152bc6b@ex.com
843025,Advanced Strength,t_91edfec2-4a4f-40de-bac9-9b0bebd45309@ex.com,t_03e8c232-a28e-42b6-a9a1-21396152bc6b@ex.com
961473,Beginner Full Body,t_33b04509-bcd7-404a-85c4-2fd253a22c3e@ex.com,t_bffe1624-c1a0-41cb-aecd-4ea19bdfa9ca@ex.com
961474,Cardio Focus,t_33b04509-bcd7-404a-85c4-2fd253a22c3e@ex.com,t_bffe1624-c1a0-41cb-aecd-4ea19bdfa9ca@ex.com
961475,Advanced Strength,t_33b04509-bcd7-404a-85c4-2fd253a22c3e@ex.com,t_bffe1624-c1a0-41cb-aecd-4ea19bdfa9ca@ex.com
62910,Beginner Full Body,t_59d398b9-501c-4edc-a160-9fc37b3fa27c@ex.com,t_15d413f6-48d5-43ab-ab23-65dd30a1f3b9@ex.com
62911,Cardio Focus,t_59d398b9-501c-4edc-a160-9fc37b3fa27c@ex.com,t_15d413f6-48d5-43ab-ab23-65dd30a1f3b9@ex.com
62912,Advanced Strength,t_59d398b9-501c-4edc-a160-9fc37b3fa27c@ex.com,t_15d413f6-48d5-43ab-ab23-65dd30a1f3b9@ex.com
453268,Beginner Full Body,t_76ceb75d-33e8-4a5e-a35a-767f30a7860b@ex.com,t_0c143ebf-b481-40f1-9973-5226ad7563ee@ex.com
453269,Cardio Focus,t_76ceb75d-33e8-4a5e-a35a-767f30a7860b@ex.com,t_0c143ebf-b481-40f1-9973-5226ad7563ee@ex.com
453270,Advanced Strength,t_76ceb75d-33e8-4a5e-a35a-767f30a7860b@ex.com,t_0c143ebf-b481-40f1-9973-5226ad7563ee@ex.com
46427,Beginner Full Body,t_c022acc3-3d52-4aff-82eb-1b2b4b7815d0@ex.com,t_beb0eea5-ddce-4603-a19f-316f3d2cd2eb@ex.com
46428,Cardio Focus,t_c022acc3-3d52-4aff-82eb-1b2b4b7815d0@ex.com,t_beb0eea5-ddce-4603-a19f-316f3d2cd2eb@ex.com
46429,Advanced Strength,t_c022acc3-3d52-4aff-82eb-1b2b4b7815d0@ex.com,t_beb0eea5-ddce-4603-a19f-316f3d2cd2eb@ex.com
