mail,name,surname,gender,isOnline,birthday
t_45dc9443-6942-4cbd-9aa4-cb600047ae8f@ex.com,TestName,TestSurname,Gender,true,2026-07-27
t_15d413f6-48d5-43ab-ab23-65dd30a1f3b9@ex.com,TestName,TestSurname,Gender,true,2026-07-27
t_beb0eea5-ddce-4603-a19f-316f3d2cd2eb@ex.com,TestName,TestSurname,Gender,true,2026-07-27
t_03e8c232-a28e-42b6-a9a1-21396152bc6b@ex.com,TestName,TestSurname,Gender,true,2026-07-27
t_ab96542e-5828-417d-92df-f36250066930@ex.com,TestName,TestSurname,Gender,true,2026-07-27
t_1f29aaf6-eac5-4cf4-b029-a52eab626399@ex.com,TestName,TestSurname,Gender,true,2026-07-27
t_bffe1624-c1a0-41cb-aecd-4ea19bdfa9ca@ex.com,TestName,TestSurname,Gender,true,2026-07-27
mattia.verdi@gmail.com,Mattia,Verdi,M,true,1985-05-20
t_f061e094-4f63-4cb7-b740-115fcd0ef38d@ex.com,TestName,TestSurname,Gender,true,2026-07-27
t_0c143ebf-b481-40f1-9973-5226ad7563ee@ex.com,TestName,TestSurname,Gender,true,2026-07-27
